comment,label
It s agood game,Positive
"Very pathetic. It is sad to see Sony like this. When respect leaves, relationship follows!",Negative
"Meh, ....I give that sphere advertisement 6/10.",Neutral
Du physique du physique,SKIP
No physical games 📀📀 No money! ❌❌,Negative
"""play has no limits"". If you follow the straight line that it does have limits.",Positive
"So gta gets vinyl but games can’t get a disc? 
no PlayStation 
You ain’t getting away with this 
F Sony!
💿💿💿💿💿💿",Negative
No CDs  no DVDs  no BLU-RAYs no likes. no no no,Negative
Remember what disc do don't remove them,Negative
Bring back physical games !!!,Negative
We want granny game on ps5,Positive
"💿:
1) Can own
2) Can sell
3) Can give
4) Can exchange
5) Keep out of account

and what can digital only game @PlayStation @Sony ???

Thats why Digital only future for consoles are flop.

Only 👉💿👈",Negative
"Para la próxima destinar parte del presupuesto en que el juego sea bueno, aunque imagino que los discos os salen tambien caros.",SKIP
Looks very physical,Positive
"Если мне ничего не принадлежит , то тогда понюхайте моих газов",SKIP
Physical disc ? 😂,Neutral
Enjoying putting my physical disc into the console while I still can before I make the switch to PC next generation. It’s been fun. RIP PlayStation 🪦✌🏻,Negative
"Hardly any cars around to see the crappy ad for the crappy game, I don’t even think 6/10 people saw it 😂",Neutral
How's the flop treating yas,Negative
Well.... That's one way to blow money instead of using it to make physical games,Negative
Where are my disks Rockstar and Playstation?,Negative
Playstation going out sad,Negative
"Physcal disks Matter! No disk, no Buy",Negative
I never moved beyond the PS1.,Negative
we want our discs,Negative
the amount of money wasted is ridiculous,Negative
So that’s where the budget went.,Negative
"Hand forced to switch to Microsoft for Halloween. Fricken PlayStation NZ removing licenses for Halloween in NZ. 30 hours of gameplay down the drain. Pre ordered and paid for, Not banned in NZ. Available of all other platforms. Can no longer play it. Way to lose loyal fans PlayStation",Negative
Disco 💿,Negative
"""We deserve better than this""

They got your hand on the gun
They want you pull the trigger or run 
They think it's fun 
Their games have just begun
They think they've outdone
No, I'm just done
I think I speak for everyone
I hope I'm not the only one",SKIP
"They canceled Kojima so Fair Game Dollar Sign can live on. As stated in a Sony Email, digital purchase isn’t ownership. You are paying full price to rent a license that can be revoked at any time.",Negative
I see PlayStation remove comments. So here again there budgets should go the continu making Physcial that’s a fk human right having options,Negative
Wow... An ad for a flop.,Negative
"Taking over something means you now own it
However it’s not ownership when it’s just a license 
Las Vegas sphere rentover",Negative
"We dont pay watch interactive movie. We pay to play interactive gameplay experiences.
Gaming is so lost atm.",Negative
R.I.P,Negative
Que se dane traga meus discos de volta é mais barato que 400 milhões de dolares,SKIP
"Woa, the sphère is physique💿💿💿💿",SKIP
No DISC No Buy No Play No PS6 bye Sony 👋💿,Negative
"1.9 million copies in 3 days... and people think it's a success? 
to break even they have to sell at least 6-7 million...PlayStation's goals were to sell 15 million copies 🤣🤣🤣🤣🤣🤣🤣",Negative
Quem comprou a deluxe não ganhou nem o respeito 😢 da insomniac,SKIP
this advertisement is worth more than the game,Positive
Mid,Neutral
We still want the discs,Negative
Wokeverine 😂,SKIP
الغاء المتابعه,SKIP
SONY... CAN WE PLS MAKE THE CHAMPIONS OF NORATH BOTH REMAKES PLS...,Neutral
"Sony can afford millions on a physically spherical advert, but somehow cannot afford to keep Kojima. No disc, no buy.",Negative
